waiting for the drop to settle...
landed, pitch = 0.00 deg  roll = 0.00 deg
body position: [6.011894997358812e-11, 2.389159828039972e-06, 0.42049888147737985]
yaw at settle (before control_loop has published a single command): +0.00 deg
--- crouch (hip/knee only, all ABAD at 0) ---
  [trot t=0.31] pitch: -7.31 deg  roll: -0.53 deg  yaw: +4.24 deg  body_xyz: [0.002210908959102573, -0.00033298545440230826, 0.33256503334416265]  speed_xy: 0.042 (target 0.150)  theta: -3.37 deg  yaw_corr(err=+4.94deg I=+0.015 -> fx_term=+0.0136 fy_term=-0.0063)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: A  foot_z: {FL:-0.158 FR:-0.176 BL:-0.160 BR:-0.129}
  [trot t=0.62] pitch: -3.98 deg  roll: -1.23 deg  yaw: -4.79 deg  body_xyz: [-0.0032618545081023256, 0.007799844948217536, 0.3463960120131381]  speed_xy: 0.095 (target 0.150)  theta: -0.54 deg  yaw_corr(err=-3.25deg I=+0.027 -> fx_term=-0.0073 fy_term=+0.0034)  legs: {'FL': 'st', 'FR': 'SW', 'BL': 'SW', 'BR': 'st'}  active_pair: B  foot_z: {FL:-0.159 FR:-0.171 BL:-0.161 BR:-0.179}
  [trot t=0.92] pitch: -6.81 deg  roll: -1.31 deg  yaw: -4.62 deg  body_xyz: [0.020116787250276557, 0.009597059835715705, 0.345971740695623]  speed_xy: 0.052 (target 0.150)  theta: -0.76 deg  yaw_corr(err=-4.53deg I=-0.001 -> fx_term=-0.0119 fy_term=+0.0056)  legs: {'FL': 'st', 'FR': 'SW', 'BL': 'SW', 'BR': 'st'}  active_pair: B  foot_z: {FL:-0.175 FR:-0.143 BL:-0.151 BR:-0.162}
  [trot t=1.23] pitch: -4.46 deg  roll: +0.29 deg  yaw: +7.81 deg  body_xyz: [0.060428099731083366, -0.005716913748860546, 0.335798547945367]  speed_xy: 0.147 (target 0.150)  theta: -7.89 deg  yaw_corr(err=+8.41deg I=+0.011 -> fx_term=+0.0225 fy_term=-0.0105)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: A  foot_z: {FL:-0.154 FR:-0.169 BL:-0.177 BR:-0.136}
  [trot t=1.54] pitch: -2.36 deg  roll: -0.12 deg  yaw: +5.05 deg  body_xyz: [0.08541750682757956, 0.006286651710805327, 0.3448005206191]  speed_xy: 0.051 (target 0.150)  theta: -1.50 deg  yaw_corr(err=+5.96deg I=+0.046 -> fx_term=+0.0177 fy_term=-0.0082)  legs: {'FL': 'st', 'FR': 'SW', 'BL': 'SW', 'BR': 'st'}  active_pair: B  foot_z: {FL:-0.145 FR:-0.177 BL:-0.172 BR:-0.182}
  [trot t=1.85] pitch: -8.19 deg  roll: -1.56 deg  yaw: -0.92 deg  body_xyz: [0.12019901193465443, 0.022505249952365112, 0.3421973670211308]  speed_xy: 0.046 (target 0.150)  theta: -4.09 deg  yaw_corr(err=-0.83deg I=+0.051 -> fx_term=+0.0001 fy_term=-0.0000)  legs: {'FL': 'st', 'FR': 'SW', 'BL': 'SW', 'BR': 'st'}  active_pair: B  foot_z: {FL:-0.181 FR:-0.153 BL:-0.140 BR:-0.160}
  [trot t=2.16] pitch: -1.01 deg  roll: -0.73 deg  yaw: +12.87 deg  body_xyz: [0.14706275084115789, 0.021278140551560555, 0.34033182736878465]  speed_xy: 0.106 (target 0.150)  theta: +3.75 deg  yaw_corr(err=+12.67deg I=+0.080 -> fx_term=+0.0368 fy_term=-0.0172)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: A  foot_z: {FL:-0.148 FR:-0.152 BL:-0.183 BR:-0.150}
  [trot t=2.47] pitch: -3.51 deg  roll: -1.95 deg  yaw: +13.82 deg  body_xyz: [0.1645730772586035, 0.033154856093335634, 0.3332872713456963]  speed_xy: 0.037 (target 0.150)  theta: +2.78 deg  yaw_corr(err=+14.54deg I=+0.154 -> fx_term=+0.0450 fy_term=-0.0210)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: A  foot_z: {FL:-0.137 FR:-0.169 BL:-0.168 BR:-0.163}
  [trot t=2.78] pitch: -8.95 deg  roll: -2.03 deg  yaw: +4.35 deg  body_xyz: [0.1685519348622656, 0.03246126885772229, 0.34443370962166614]  speed_xy: 0.026 (target 0.150)  theta: -6.58 deg  yaw_corr(err=+4.94deg I=+0.200 -> fx_term=+0.0219 fy_term=-0.0102)  legs: {'FL': 'st', 'FR': 'SW', 'BL': 'SW', 'BR': 'st'}  active_pair: B  foot_z: {FL:-0.183 FR:-0.165 BL:-0.138 BR:-0.168}
  [trot t=3.09] pitch: -7.81 deg  roll: -1.69 deg  yaw: +14.71 deg  body_xyz: [0.18556772252588702, 0.03563490041045075, 0.35849861166436536]  speed_xy: 0.264 (target 0.150)  theta: -2.84 deg  yaw_corr(err=+15.41deg I=+0.247 -> fx_term=+0.0515 fy_term=-0.0240)  legs: {'FL': 'SW', 'FR': 'st', 'BL': 'st', 'BR': 'SW'}  active_pair: A  foot_z: {FL:-0.173 FR:-0.156 BL:-0.185 BR:-0.153}
